,date,title,summary
86,2018.07.12.,美·中 무역전쟁 ‘불똥’… 시름 깊어진 남미(南美)경제,"베네수엘라 1분기 성장 -12%/원유생산량 30년來 최저 수준/브라질, 외국인 자본 이탈 가속 미국과 중국의 무역전쟁이 전면전 양상으로 흐름에 따라 휘청이는 남미 경제에 시름이 깊어지고 있다. 남미 내 반미동맹의..."
87,2018.07.15.,高유가에 주춤한 롯데켐…자회사 효과로 반등할까,이에 사우디는 유휴 산유 시설을 가동하겠다는 입장을 밝힌 바 있다. 아랍에미리트(UAE)도 마찬가지다. 국영석유회사인 ADNOC는 원유 생산량을 늘릴 여력이 있다며 증산 가능성을 내비쳤다. [
88,2018.07.16.,G2 무역전쟁 와중에…뒤에서 웃는 태국·브라질·인도,브라질 아르헨티나 등 남미는 전 세계 대두 생산량 가운데 절반가량을 생산한다. 이미 브라질은 대두... 미국이 이란 핵협정을 탈퇴하며 11월부터 이란산 원유 수입을 전면 중단시키겠다고 선언한 상황에서 이란은 도리어...
89,2018.07.18.,"석유화학업계, 에틸렌 증산 레이스 씽씽","롯데케미칼 관계자는 ""올해 하반기 여수 NCC 증산과 미국 루이지애나주 ECC가 완공되면 올해 말 기준으로 연간 에틸렌 생산량이 세계 7위 수준인 450만t으로 확대된다""고 말했다. 국내 석유화학업체들은 원유 정제..."
90,2018.07.12.,유가 하루 사이에 6.9% 급락…'미·중 무역전쟁 우려+사우디 증산',석유수출국기구(OPEC)에 따르면 사우디아라비아의 6월 하루 원유 생산량은 전달보다 최소 40만배럴 늘어난 것으로 집계됐다. 최근 유가 상승세를 꺾기 위해 사우디 정부가 증산에 나선 것으로 파악됨에 따라 원유 수급...
91,2018.07.12.,"셰일 혁명 美, 세계 최대 산유국 된다",12일 미국 에너지정보청(EIA) 보고서를 인용한 AP통신 보도에 따르면 내년 미국의 원유 생산량은 하루 1180만 배럴 수준까지 늘어 일평균 생산량 기준 세계 1위 산유국에 오를 전망이다. 올해 2월 이후 미국 산유량은...
92,2018.07.12.,"무역전쟁發 원자재 쇼크…유가 7%, 구리 3% 급락",석유수출국기구(OPEC)는 이날 발표한 보고서에서 내년 비OPEC 산유국 생산량이 미국의 생산 확대에 힘입어 하루 평균 210만배럴 늘어날 것으로 내다봤다. 반면 OPEC는 원유 수요가 올해보다 하루 평균 145만배럴 증가하는...
93,2018.07.12.,국제 유가 급락에 화학株 '화색',유가가 급락한 데엔 미·중 무역전쟁과 석유수출국기구(OPEC)의 6월 원유 생산량 증가 발표가 영향을 미쳤다는 분석이다. 화학제품 수요에 큰 변화가 없는 상태에서 원료로 쓰이는 원유가격이 하락하면 생산비용이...
94,2018.07.12.,"미국, 40년만에최대 산유국 되나",내년 하루 1180만배럴 생산 전망 사우디·러시아 생산량 앞설수도 [디지털타임스 윤선영 기자] 도널드 트럼프 미국 정부 들어 미국이 원유 생산량을 늘리면서 최대 산유국에 다시 오를 전망이다. 1970년대 사우디...
95,2018.07.12.,"美, 러·사우디 제치고 최대 산유국 넘본다",[서울신문] 미국이 원유 생산량을 꾸준히 늘리면서 내년에는 1970년대 이후 처음으로 러시아와 사우디아라비아를 제치고 세계 최대 산유국으로 부상할 것이라는 전망이 나왔다. 11일(현지시간) AP통신에 따르면 미국...
96,2018.07.12.,美·中 무역전쟁 ‘불똥’… 시름 깊어진 남미(南美)경제,"베네수엘라 1분기 성장 -12%/원유생산량 30년來 최저 수준/브라질, 외국인 자본 이탈 가속 미국과 중국의 무역전쟁이 전면전 양상으로 흐름에 따라 휘청이는 남미 경제에 시름이 깊어지고 있다. 남미 내 반미동맹의..."
97,2018.07.15.,高유가에 주춤한 롯데켐…자회사 효과로 반등할까,이에 사우디는 유휴 산유 시설을 가동하겠다는 입장을 밝힌 바 있다. 아랍에미리트(UAE)도 마찬가지다. 국영석유회사인 ADNOC는 원유 생산량을 늘릴 여력이 있다며 증산 가능성을 내비쳤다. [
98,2018.07.16.,G2 무역전쟁 와중에…뒤에서 웃는 태국·브라질·인도,브라질 아르헨티나 등 남미는 전 세계 대두 생산량 가운데 절반가량을 생산한다. 이미 브라질은 대두... 미국이 이란 핵협정을 탈퇴하며 11월부터 이란산 원유 수입을 전면 중단시키겠다고 선언한 상황에서 이란은 도리어...
99,2018.07.18.,"석유화학업계, 에틸렌 증산 레이스 씽씽","롯데케미칼 관계자는 ""올해 하반기 여수 NCC 증산과 미국 루이지애나주 ECC가 완공되면 올해 말 기준으로 연간 에틸렌 생산량이 세계 7위 수준인 450만t으로 확대된다""고 말했다. 국내 석유화학업체들은 원유 정제..."
100,2018.07.12.,유가 하루 사이에 6.9% 급락…'미·중 무역전쟁 우려+사우디 증산',석유수출국기구(OPEC)에 따르면 사우디아라비아의 6월 하루 원유 생산량은 전달보다 최소 40만배럴 늘어난 것으로 집계됐다. 최근 유가 상승세를 꺾기 위해 사우디 정부가 증산에 나선 것으로 파악됨에 따라 원유 수급...
101,2018.07.12.,"셰일 혁명 美, 세계 최대 산유국 된다",12일 미국 에너지정보청(EIA) 보고서를 인용한 AP통신 보도에 따르면 내년 미국의 원유 생산량은 하루 1180만 배럴 수준까지 늘어 일평균 생산량 기준 세계 1위 산유국에 오를 전망이다. 올해 2월 이후 미국 산유량은...
102,2018.07.12.,"무역전쟁發 원자재 쇼크…유가 7%, 구리 3% 급락",석유수출국기구(OPEC)는 이날 발표한 보고서에서 내년 비OPEC 산유국 생산량이 미국의 생산 확대에 힘입어 하루 평균 210만배럴 늘어날 것으로 내다봤다. 반면 OPEC는 원유 수요가 올해보다 하루 평균 145만배럴 증가하는...
103,2018.07.12.,국제 유가 급락에 화학株 '화색',유가가 급락한 데엔 미·중 무역전쟁과 석유수출국기구(OPEC)의 6월 원유 생산량 증가 발표가 영향을 미쳤다는 분석이다. 화학제품 수요에 큰 변화가 없는 상태에서 원료로 쓰이는 원유가격이 하락하면 생산비용이...
104,2018.07.12.,"미국, 40년만에최대 산유국 되나",내년 하루 1180만배럴 생산 전망 사우디·러시아 생산량 앞설수도 [디지털타임스 윤선영 기자] 도널드 트럼프 미국 정부 들어 미국이 원유 생산량을 늘리면서 최대 산유국에 다시 오를 전망이다. 1970년대 사우디...
105,2018.07.12.,"美, 러·사우디 제치고 최대 산유국 넘본다",[서울신문] 미국이 원유 생산량을 꾸준히 늘리면서 내년에는 1970년대 이후 처음으로 러시아와 사우디아라비아를 제치고 세계 최대 산유국으로 부상할 것이라는 전망이 나왔다. 11일(현지시간) AP통신에 따르면 미국...
106,2018.07.12.,美·中 무역전쟁 ‘불똥’… 시름 깊어진 남미(南美)경제,"베네수엘라 1분기 성장 -12%/원유생산량 30년來 최저 수준/브라질, 외국인 자본 이탈 가속 미국과 중국의 무역전쟁이 전면전 양상으로 흐름에 따라 휘청이는 남미 경제에 시름이 깊어지고 있다. 남미 내 반미동맹의..."
107,2018.07.15.,高유가에 주춤한 롯데켐…자회사 효과로 반등할까,이에 사우디는 유휴 산유 시설을 가동하겠다는 입장을 밝힌 바 있다. 아랍에미리트(UAE)도 마찬가지다. 국영석유회사인 ADNOC는 원유 생산량을 늘릴 여력이 있다며 증산 가능성을 내비쳤다. [
108,2018.07.16.,G2 무역전쟁 와중에…뒤에서 웃는 태국·브라질·인도,브라질 아르헨티나 등 남미는 전 세계 대두 생산량 가운데 절반가량을 생산한다. 이미 브라질은 대두... 미국이 이란 핵협정을 탈퇴하며 11월부터 이란산 원유 수입을 전면 중단시키겠다고 선언한 상황에서 이란은 도리어...
109,2018.07.18.,"석유화학업계, 에틸렌 증산 레이스 씽씽","롯데케미칼 관계자는 ""올해 하반기 여수 NCC 증산과 미국 루이지애나주 ECC가 완공되면 올해 말 기준으로 연간 에틸렌 생산량이 세계 7위 수준인 450만t으로 확대된다""고 말했다. 국내 석유화학업체들은 원유 정제..."
110,2018.07.12.,유가 하루 사이에 6.9% 급락…'미·중 무역전쟁 우려+사우디 증산',석유수출국기구(OPEC)에 따르면 사우디아라비아의 6월 하루 원유 생산량은 전달보다 최소 40만배럴 늘어난 것으로 집계됐다. 최근 유가 상승세를 꺾기 위해 사우디 정부가 증산에 나선 것으로 파악됨에 따라 원유 수급...
111,2018.07.12.,"셰일 혁명 美, 세계 최대 산유국 된다",12일 미국 에너지정보청(EIA) 보고서를 인용한 AP통신 보도에 따르면 내년 미국의 원유 생산량은 하루 1180만 배럴 수준까지 늘어 일평균 생산량 기준 세계 1위 산유국에 오를 전망이다. 올해 2월 이후 미국 산유량은...
112,2018.07.12.,"무역전쟁發 원자재 쇼크…유가 7%, 구리 3% 급락",석유수출국기구(OPEC)는 이날 발표한 보고서에서 내년 비OPEC 산유국 생산량이 미국의 생산 확대에 힘입어 하루 평균 210만배럴 늘어날 것으로 내다봤다. 반면 OPEC는 원유 수요가 올해보다 하루 평균 145만배럴 증가하는...
113,2018.07.12.,국제 유가 급락에 화학株 '화색',유가가 급락한 데엔 미·중 무역전쟁과 석유수출국기구(OPEC)의 6월 원유 생산량 증가 발표가 영향을 미쳤다는 분석이다. 화학제품 수요에 큰 변화가 없는 상태에서 원료로 쓰이는 원유가격이 하락하면 생산비용이...
114,2018.07.12.,"미국, 40년만에최대 산유국 되나",내년 하루 1180만배럴 생산 전망 사우디·러시아 생산량 앞설수도 [디지털타임스 윤선영 기자] 도널드 트럼프 미국 정부 들어 미국이 원유 생산량을 늘리면서 최대 산유국에 다시 오를 전망이다. 1970년대 사우디...
115,2018.07.12.,"美, 러·사우디 제치고 최대 산유국 넘본다",[서울신문] 미국이 원유 생산량을 꾸준히 늘리면서 내년에는 1970년대 이후 처음으로 러시아와 사우디아라비아를 제치고 세계 최대 산유국으로 부상할 것이라는 전망이 나왔다. 11일(현지시간) AP통신에 따르면 미국...
116,2018.07.12.,美·中 무역전쟁 ‘불똥’… 시름 깊어진 남미(南美)경제,"베네수엘라 1분기 성장 -12%/원유생산량 30년來 최저 수준/브라질, 외국인 자본 이탈 가속 미국과 중국의 무역전쟁이 전면전 양상으로 흐름에 따라 휘청이는 남미 경제에 시름이 깊어지고 있다. 남미 내 반미동맹의..."
117,2018.07.15.,高유가에 주춤한 롯데켐…자회사 효과로 반등할까,이에 사우디는 유휴 산유 시설을 가동하겠다는 입장을 밝힌 바 있다. 아랍에미리트(UAE)도 마찬가지다. 국영석유회사인 ADNOC는 원유 생산량을 늘릴 여력이 있다며 증산 가능성을 내비쳤다. [
118,2018.07.16.,G2 무역전쟁 와중에…뒤에서 웃는 태국·브라질·인도,브라질 아르헨티나 등 남미는 전 세계 대두 생산량 가운데 절반가량을 생산한다. 이미 브라질은 대두... 미국이 이란 핵협정을 탈퇴하며 11월부터 이란산 원유 수입을 전면 중단시키겠다고 선언한 상황에서 이란은 도리어...
119,2018.07.18.,"석유화학업계, 에틸렌 증산 레이스 씽씽","롯데케미칼 관계자는 ""올해 하반기 여수 NCC 증산과 미국 루이지애나주 ECC가 완공되면 올해 말 기준으로 연간 에틸렌 생산량이 세계 7위 수준인 450만t으로 확대된다""고 말했다. 국내 석유화학업체들은 원유 정제..."
120,2018.07.12.,유가 하루 사이에 6.9% 급락…'미·중 무역전쟁 우려+사우디 증산',석유수출국기구(OPEC)에 따르면 사우디아라비아의 6월 하루 원유 생산량은 전달보다 최소 40만배럴 늘어난 것으로 집계됐다. 최근 유가 상승세를 꺾기 위해 사우디 정부가 증산에 나선 것으로 파악됨에 따라 원유 수급...
121,2018.07.12.,"셰일 혁명 美, 세계 최대 산유국 된다",12일 미국 에너지정보청(EIA) 보고서를 인용한 AP통신 보도에 따르면 내년 미국의 원유 생산량은 하루 1180만 배럴 수준까지 늘어 일평균 생산량 기준 세계 1위 산유국에 오를 전망이다. 올해 2월 이후 미국 산유량은...
122,2018.07.12.,"무역전쟁發 원자재 쇼크…유가 7%, 구리 3% 급락",석유수출국기구(OPEC)는 이날 발표한 보고서에서 내년 비OPEC 산유국 생산량이 미국의 생산 확대에 힘입어 하루 평균 210만배럴 늘어날 것으로 내다봤다. 반면 OPEC는 원유 수요가 올해보다 하루 평균 145만배럴 증가하는...
123,2018.07.12.,국제 유가 급락에 화학株 '화색',유가가 급락한 데엔 미·중 무역전쟁과 석유수출국기구(OPEC)의 6월 원유 생산량 증가 발표가 영향을 미쳤다는 분석이다. 화학제품 수요에 큰 변화가 없는 상태에서 원료로 쓰이는 원유가격이 하락하면 생산비용이...
124,2018.07.12.,"미국, 40년만에최대 산유국 되나",내년 하루 1180만배럴 생산 전망 사우디·러시아 생산량 앞설수도 [디지털타임스 윤선영 기자] 도널드 트럼프 미국 정부 들어 미국이 원유 생산량을 늘리면서 최대 산유국에 다시 오를 전망이다. 1970년대 사우디...
125,2018.07.12.,"美, 러·사우디 제치고 최대 산유국 넘본다",[서울신문] 미국이 원유 생산량을 꾸준히 늘리면서 내년에는 1970년대 이후 처음으로 러시아와 사우디아라비아를 제치고 세계 최대 산유국으로 부상할 것이라는 전망이 나왔다. 11일(현지시간) AP통신에 따르면 미국...
